發生時間,發生地點,死亡受傷人數,車種,經度,緯度
111年01月31日 15時57分00秒,彰化縣田中鎮碧峰里中南路2段638號前0.0公尺前,死亡1;受傷1,腳踏自行車-慢車;大型重型1(550C.C.以上)-機車,120.600851,23.853377
111年01月31日 21時08分00秒,屏東縣三地門鄉屏185縣道好望角餐廳前,死亡1;受傷0,普通重型-機車,120.639582,22.717170
111年02月01日 03時15分00秒,臺中市大里區中投東路三段 / 臺中市大里區東興路,死亡2;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車;乘客-人,120.671335,24.107821
111年02月01日 18時42分00秒,新北市三峽區新北市三峽區介壽路3段187650號燈桿前,死亡1;受傷0,普通重型-機車;普通重型-機車,121.401559,24.942308
111年02月02日 20時09分00秒,彰化縣埤頭鄉中和村彰水路1段前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車,120.458118,23.854807
111年02月02日 23時00分00秒,高雄市前鎮區中山四路 / 高雄市前鎮區鎮海路,死亡1;受傷0,自用-小客車;普通重型-機車;乘客-人,120.318685,22.592679
111年02月03日 00時49分00秒,高雄市苓雅區四維二路 / 高雄市苓雅區光華一路,死亡1;受傷0,自用-小客車;普通輕型-機車,120.316800,22.621160
111年02月03日 01時42分38秒,南投縣南投市中興路口 / 南投縣南投市軍功路,死亡1;受傷1,自用-小客車;自用-小客車;乘客-人,120.698262,23.917880
111年02月03日 14時00分15秒,桃園市中壢區國道1號 56公里500.0公尺處南側向內壢出口匝道(高架方,死亡1;受傷0,自用-小客車;計程車-小客車,121.218300,24.971384
111年02月03日 21時16分00秒,臺北市松山區民生東路3段 / 臺北市松山區民生東路3段,死亡1;受傷0,自用-小客車;行人-人,121.547465,25.057751
111年02月04日 00時22分00秒,彰化縣秀水鄉鶴鳴村彰鹿路 / 彰化縣秀水鄉鶴鳴村民主街,死亡1;受傷0,行人-人;自用-小客車,120.494394,24.049891
111年02月04日 03時24分55秒,屏東縣新埤鄉新中路22號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,120.549261,22.467354
111年02月05日 00時25分00秒,高雄市三民區九如二路 / 高雄市三民區大連街,死亡1;受傷1,普通重型-機車;自用-小客車,120.305400,22.641040
111年02月05日 08時09分00秒,新北市新店區新北市新店區中興路2段與中興路2段新店交流道,死亡1;受傷0,租賃車-小客車;普通重型-機車,121.560442,24.952478
111年02月05日 12時11分47秒,雲林縣西螺鎮新安里市場北路(振西13A電桿處),死亡1;受傷0,自用-小客車;普通重型-機車,120.452335,23.784787
111年02月05日 18時33分00秒,南投縣名間鄉投39線近白毫幹52分2,死亡1;受傷0,自用-小客車,120.704526,23.857692
111年02月05日 19時13分00秒,桃園市八德區介壽路二段口 / 桃園市八德區介壽路二段口,死亡1;受傷2,普通重型-機車;行人-人;乘客-人,121.298702,24.954653
111年02月05日 19時51分00秒,高雄市三民區明誠一路 / 高雄市三民區鼎山街,死亡1;受傷0,自用-小客車;普通重型-機車,120.321900,22.659390
111年02月06日 06時47分00秒,南投縣埔里鎮大湳里信義路口 / 南投縣埔里鎮大湳里明德北路口,死亡1;受傷0,大型重型2(250-550C.C.)-機車;自用-小客車;自用-小客車;自用-小客車,120.978409,23.974096
111年02月06日 10時19分00秒,新竹縣湖口鄉中正路三段、中美路口,死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人,121.052238,24.887877
111年02月06日 10時26分00秒,桃園市大園區高鐵北路三段附近 / 桃園市大園區大竹南路附近,死亡1;受傷0,普通重型-機車;營業用-曳引車,121.228696,25.027060
111年02月06日 12時48分12秒,臺南市南區水交社路口 / 臺南市南區西門路1段口,死亡1;受傷0,普通重型-機車,120.200389,22.977767
111年02月06日 16時35分00秒,臺南市關廟區保東路大昌橋頭,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.300512,22.996083
111年02月06日 17時58分00秒,彰化縣埤頭鄉埤頭村東環路3段 / 彰化縣埤頭鄉埤頭村埤頭路,死亡1;受傷0,電動自行車-慢車;自用-小客車,120.472329,23.894773
111年02月06日 20時10分00秒,臺中市豐原區鎌村里鎌村路476號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人;自用-小客車,120.724446,24.225381
111年02月07日 07時40分00秒,臺中市大甲區銅安里長壽東西二路 / 臺中市大甲區銅安里長壽南北一路,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人,120.637270,24.414281
111年02月07日 08時54分00秒,新竹縣湖口鄉光復北路34號前0.0公尺附近,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.026615,24.873686
111年02月07日 11時31分00秒,新北市瑞芳區新北市瑞芳區臺2線道路與臺2線道路81.7公里處,死亡1;受傷0,自用-小客車;營業用-曳引車,121.842028,25.122113
111年02月07日 18時20分00秒,高雄市梓官區公館路159號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.269700,22.766380
111年02月08日 13時40分00秒,基隆市七堵區台62線 5公里200.0公尺處東側向內側,死亡1;受傷3,自用-小客車;乘客-人;乘客-人;乘客-人,121.734556,25.104908
111年02月08日 13時43分00秒,高雄市楠梓區楠陽高架橋稔田191路燈號前0.0公尺,死亡1;受傷1,自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);民營公車-大客車,120.323989,22.724870
111年02月08日 14時41分00秒,高雄市鳥松區美山路21號前0.0公尺前,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.379919,22.641474
111年02月08日 15時25分00秒,新竹縣湖口鄉中山路一段(王爺高幹68旁),死亡2;受傷0,普通重型-機車;乘客-人,121.043331,24.900595
111年02月08日 15時30分19秒,嘉義縣鹿草鄉西井村163線20.9公里,死亡1;受傷0,自用-大貨車;普通重型-機車,120.304690,23.405211
111年02月09日 01時54分00秒,新竹縣竹東鎮新中正橋往南方向車道(路燈24865號)附近,死亡1;受傷0,自用-小客車;普通重型-機車,121.060720,24.787116
111年02月10日 01時35分00秒,桃園市平鎮區延平路2段95號前0.0公尺,死亡1;受傷0,普通重型-機車,121.212395,24.949509
111年02月10日 06時58分59秒,花蓮縣吉安鄉東海十街243號前0.0公尺附近,死亡1;受傷0,自用-小客車,121.599813,23.960627
111年02月10日 09時26分00秒,屏東縣車城鄉保新路、新街路口,死亡1;受傷0,普通重型-機車;營業用-小貨車(含客、貨兩用),120.716775,22.060601
111年02月10日 14時13分00秒,嘉義縣六腳鄉正義村六腳168之7號後方40公尺處。,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.257303,23.501792
111年02月10日 14時36分00秒,新竹縣湖口鄉中山路1段175巷前0.0公尺口,死亡1;受傷0,自用-小客車;普通重型-機車,121.039228,24.886096
111年02月10日 16時54分00秒,臺中市大安區頂安里東西二路 / 臺中市大安區頂安里南北七路,死亡1;受傷0,自用-大貨車;普通重型-機車,120.605574,24.388329
111年02月11日 00時53分00秒,屏東縣鹽埔鄉新埔路158號前0.0公尺,死亡1;受傷0,自用-小客車,120.566249,22.753733
111年02月11日 06時29分30秒,南投縣南投市大庄路電桿赤水幹59處,死亡1;受傷0,普通重型-機車,120.676818,23.881496
111年02月11日 08時45分00秒,新北市林口區粉寮路2段799巷前30.0公尺,死亡1;受傷0,普通重型-機車;營業用-大貨車,121.376360,25.075614
111年02月11日 08時46分00秒,高雄市左營區高鐵路前0.0公尺,死亡1;受傷0,普通重型-機車,120.311063,22.689368
111年02月11日 11時00分00秒,高雄市美濃區廣福街 / 高雄市美濃區廣福街,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.580100,22.911830
111年02月11日 19時20分00秒,臺北市內湖區國道1號 17公里800.0公尺處北側向內側,死亡1;受傷0,自用-小客車;營業用-半聯結車,121.589230,25.065516
111年02月12日 01時10分00秒,苗栗縣頭份市自強路二段36號,死亡1;受傷1,自用-小客車;行人-人;行人-人,120.899210,24.684638
111年02月12日 08時45分00秒,南投縣埔里鎮台14線 51公里900.0公尺處,死亡1;受傷2,普通重型-機車;大型重型1(550C.C.以上)-機車;普通重型-機車;乘客-人,120.928360,23.971026
111年02月12日 10時31分00秒,彰化縣埔鹽鄉大有村員鹿路3段113-2號前0.0公尺,死亡1;受傷0,普通重型-機車,120.451763,24.015702
111年02月12日 11時14分14秒,新竹市東區東大路一段口 / 新竹市東區中華路二段,死亡1;受傷1,行人-人;普通重型-機車,120.975289,24.804332
111年02月12日 15時38分00秒,雲林縣莿桐鄉莿桐南路與光復路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.501495,23.753236
111年02月12日 22時35分00秒,高雄市大寮區大漢路 / 高雄市大寮區民智街,死亡1;受傷0,普通重型-機車;大型重型1(550C.C.以上)-機車,120.383442,22.635979
111年02月13日 00時10分00秒,彰化縣埔鹽鄉角樹村員鹿路1段129號前0.0公尺前,死亡1;受傷1,普通重型-機車;乘客-人,120.468489,23.986600
111年02月13日 17時32分03秒,苗栗縣苗栗市國華路582號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.817994,24.575202
111年02月13日 21時14分00秒,嘉義縣朴子市大鄉里157線33.7公里處,死亡1;受傷0,自用-小客車;普通重型-機車,120.257317,23.467638
111年02月13日 21時21分00秒,新北市新店區玫瑰路58巷前0.0公尺,死亡1;受傷0,營業用-小貨車(含客、貨兩用);民營公車-大客車,121.495438,24.946510
111年02月14日 03時38分00秒,臺中市北區崇德里崇德路一段 / 臺中市北區崇德里進化北路,死亡1;受傷1,普通重型-機車;自用-小客車,120.685456,24.163099
111年02月14日 04時18分00秒,新北市樹林區三俊街216號前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-曳引車,121.421151,25.015065
111年02月14日 05時58分00秒,臺中市清水區西寧里五權東路 / 臺中市清水區西寧里中華路,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,120.574431,24.275476
111年02月15日 06時18分00秒,臺中市神岡區岸裡里大圳路前0.0公尺,死亡1;受傷1,普通重型-機車;腳踏自行車-慢車,120.691600,24.255000
111年02月15日 08時07分00秒,臺中市大里區夏田里環河路一段前0.0公尺,死亡1;受傷0,普通重型-機車,120.679780,24.087878
111年02月15日 15時10分00秒,高雄市三民區民族一路400號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.315460,22.653019
111年02月15日 15時46分00秒,臺南市善化區小新里成功路口 / 臺南市善化區小新里成功路口,死亡1;受傷0,腳踏自行車-慢車;自用-小貨車(含客、貨兩用),120.311390,23.129133
111年02月15日 18時43分38秒,臺南市仁德區仁義里仁義路223號對面(仁德運動公園門口),死亡1;受傷0,普通重型-機車;自用-大貨車,120.258385,22.968534
111年02月16日 05時15分26秒,苗栗縣三義鄉國道1號 147公里600.0公尺處北側向內側,死亡1;受傷1,自用-小客車;乘客-人,120.774929,24.416695
111年02月16日 10時50分00秒,彰化縣二林鎮趙甲里鎮平巷59-13號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,120.395578,23.937653
111年02月16日 11時50分00秒,桃園市中壢區圓光路二段北側 / 桃園市中壢區月山路口,死亡1;受傷0,自用-小客車;普通重型-機車,121.177059,25.005687
111年02月16日 14時36分00秒,新北市淡水區淡金路1段88號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,121.458457,25.173169
111年02月16日 14時56分29秒,新竹市北區水田街口 / 新竹市北區水田街,死亡1;受傷0,自用-小客車;行人-人,120.968932,24.816375
111年02月17日 13時25分00秒,桃園市大園區新生路103號前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-小貨車(含客、貨兩用),121.199998,25.064620
111年02月18日 04時30分00秒,新竹縣橫山鄉油羅溪橋北端,死亡1;受傷1,普通重型-機車;乘客-人,121.145182,24.696554
111年02月18日 06時02分23秒,嘉義縣水上鄉國道3號 300公里900.0公尺處南側向外側,死亡1;受傷0,營業用-小貨車(含客、貨兩用);營業用-半聯結車,120.440342,23.409131
111年02月18日 10時10分00秒,臺中市梧棲區中正里文化路二段166號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通輕型-機車,120.531333,24.255750
111年02月18日 11時44分00秒,臺南市柳營區神農里南81線12公里處,死亡1;受傷0,營業用-大貨車;普通重型-機車,120.365003,23.265512
111年02月18日 11時50分00秒,高雄市路竹區國昌路 / 高雄市路竹區延平路,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,120.252800,22.857270
111年02月18日 14時30分59秒,南投縣鹿谷鄉瑞田村產業運輸大道,死亡1;受傷1,營業用-曳引車;營業用-曳引車,120.803155,23.813041
111年02月18日 15時18分00秒,雲林縣斗六市保長路530號附近,死亡1;受傷0,普通重型-機車,120.510628,23.705309
111年02月18日 16時55分00秒,高雄市仁武區澄觀路 / 高雄市仁武區新庄巷,死亡1;受傷0,自用-小客車;普通重型-機車,120.361316,22.695951
111年02月18日 18時04分00秒,桃園市平鎮區福龍路1段597號前0.0公尺附近,死亡1;受傷0,普通重型-機車;自用-大貨車,121.226100,24.895662
111年02月18日 21時44分10秒,臺南市仁德區新田里義林南路口 / 臺南市仁德區新田里德糖路口,死亡1;受傷1,普通重型-機車;大型重型1(550C.C.以上)-機車,120.260788,22.952486
111年02月19日 02時22分00秒,臺南市柳營區重溪里義士路2段前0.0公尺,死亡1;受傷0,大型重型2(250-550C.C.)-機車,120.353594,23.286995
111年02月19日 10時10分40秒,花蓮縣新城鄉台9線 176公里400.0公尺處,死亡3;受傷2,自用-小客車;乘客-人;乘客-人;乘客-人;乘客-人,121.614521,24.095608
111年02月19日 13時38分00秒,高雄市旗山區旗南三路 / 高雄市旗山區龍文巷,死亡1;受傷0,普通重型-機車;營業用-曳引車,120.450556,22.775311
111年02月19日 17時59分00秒,高雄市仁武區大豐街160號前0.0公尺前,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,120.337511,22.674553
111年02月20日 00時50分00秒,新北市泰山區國道1號 35公里600.0公尺處南側向輔助,死亡3;受傷0,自用-小客車;乘客-人;乘客-人,121.415622,25.062015
111年02月20日 02時19分00秒,嘉義縣太保市東勢里嘉58-1線3.3公里處,死亡1;受傷0,普通重型-機車,120.303420,23.468155
111年02月20日 06時11分00秒,臺中市沙鹿區鹿寮里光大路 / 臺中市沙鹿區鹿寮里福人街,死亡1;受傷0,租賃車-小客車;行人-人,120.564366,24.244551
111年02月20日 09時18分00秒,基隆市安樂區基隆市安樂區台2線(濱海公路)路燈桿68016號處,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),121.705887,25.175119
111年02月20日 13時40分00秒,新竹市北區成功路近延平路(燈桿:214113),死亡1;受傷0,普通重型-機車,120.948591,24.805538
111年02月21日 07時21分50秒,屏東縣萬丹鄉水仙村新福路與產業道路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.499168,22.559034
111年02月21日 16時23分13秒,桃園市八德區桃德路附近 / 桃園市八德區桃德路附近,死亡1;受傷0,自用-小客車;普通重型-機車,121.295119,24.968905
111年02月21日 19時22分00秒,新北市五股區新北市五股區成蘆橋道路五股往蘆洲,死亡1;受傷0,普通重型-機車,121.455990,25.099691
111年02月21日 20時29分00秒,屏東縣潮州鎮屏75線2.2公里南下外側車道(P24橋敦附近),死亡1;受傷0,普通重型-機車,120.525514,22.559089
111年02月22日 01時03分00秒,新北市泰山區泰林路3段335號前0.0公尺,死亡1;受傷0,普通重型-機車,121.410120,25.070845
111年02月22日 07時26分00秒,彰化縣永靖鄉瑚璉村中山路2段203號前0.0公尺前,死亡1;受傷0,普通重型-機車,120.551413,23.922201
111年02月22日 09時23分00秒,屏東縣屏東市海豐街76號前0.0公尺附近,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人,120.516372,22.703663
111年02月22日 11時23分00秒,臺中市清水區國道3號 171公里300.0公尺處南側向中線,死亡1;受傷1,自用-小貨車(含客、貨兩用);自用-小客車;營業用-半聯結車;自用-小客車;乘客-人,120.590438,24.268843
111年02月22日 12時34分00秒,高雄市鳥松區松藝路鳥松0028路燈號前0.0公尺前,死亡1;受傷0,普通重型-機車,120.341200,22.663650
111年02月22日 21時23分00秒,桃園市桃園區文中路390號前0.0公尺,死亡1;受傷0,普通重型-機車,121.284859,24.995321
111年02月23日 07時07分00秒,高雄市路竹區復興路1250號前0.0公尺前,死亡1;受傷0,普通重型-機車;營業用-大貨車,120.287400,22.829820
111年02月23日 12時55分00秒,嘉義縣大林鎮國道3號 283公里700.0公尺處南側向內側,死亡1;受傷1,自用-小客車;乘客-人,120.506371,23.572735
111年02月23日 19時35分18秒,花蓮縣鳳林鎮中正路188-3號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.445352,23.737886
111年02月24日 01時16分00秒,新竹縣峨眉鄉臺3線90.5K,死亡1;受傷0,普通重型-機車,120.984991,24.696767
111年02月24日 01時30分00秒,桃園市平鎮區中豐路200號前0.0公尺,死亡1;受傷0,普通重型-機車,121.216449,24.942222
111年02月24日 04時47分00秒,臺中市霧峰區五福里環河路一段708號前0.0公尺,死亡1;受傷1,自用-小客車;大客車-軍車;乘客-人,120.657713,24.086201
111年02月24日 17時06分44秒,宜蘭縣三星鄉大洲橋北端(宜26縣9.7公里處),死亡1;受傷0,營業用-曳引車;普通輕型-機車,121.732945,24.691308
111年02月25日 00時45分00秒,桃園市龍潭區中豐路口 / 桃園市龍潭區中豐路口,死亡1;受傷3,自用-小客車;自用-小客車;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);自用-小客車;自用-大貨車;乘客-人;乘客-人,121.212542,24.890519
111年02月25日 07時00分00秒,臺中市大里區夏田里環河路一段前0.0公尺,死亡1;受傷0,普通重型-機車,120.655053,24.088286
111年02月25日 12時45分00秒,基隆市七堵區泰安路123號前0.0公尺,死亡1;受傷0,營業用-小貨車(含客、貨兩用);普通重型-機車,121.710605,25.079284
111年02月25日 19時28分00秒,高雄市大寮區鳳林四路190號前0.0公尺,死亡1;受傷0,行人-人;自用-小貨車(含客、貨兩用),120.384899,22.617608
111年02月26日 02時38分24秒,苗栗縣大湖鄉台3線 132公里500.0公尺處,死亡1;受傷0,行人-人;自用-小客車,120.867799,24.399250
111年02月26日 02時47分15秒,花蓮縣秀林鄉台9丁線 62公里600.0公尺處,死亡1;受傷0,普通重型-機車,121.694185,24.220305
111年02月26日 09時43分00秒,新北市三重區新北大道1段129號前0.0公尺,死亡1;受傷0,計程車-小客車;普通重型-機車;營業用-曳引車,121.483446,25.061512
111年02月26日 10時20分00秒,高雄市三民區大順二路 / 高雄市三民區鼎山街,死亡1;受傷0,自用-小客車;普通重型-機車,120.318859,22.653515
111年02月26日 11時05分00秒,新北市淡水區建設街 / 新北市淡水區文化路,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人,121.438955,25.172019
111年02月26日 11時27分00秒,屏東縣萬丹鄉萬順路2段口 / 屏東縣萬丹鄉南北路1段,死亡1;受傷0,普通重型-機車;租賃車-小客車;乘客-人,120.467028,22.604472
111年02月26日 11時52分00秒,新北市汐止區新北市汐止區瑞松街520171號燈桿附近,死亡1;受傷0,普通重型-機車,121.645648,25.105866
111年02月26日 17時10分00秒,高雄市橋頭區甲典街 / 高雄市橋頭區通典路,死亡1;受傷0,自用-小客車;普通重型-機車,120.278948,22.742179
111年02月27日 03時04分00秒,臺中市南屯區溝墘里文心路一段 / 臺中市南屯區溝墘里大業路,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.646661,24.153408
111年02月27日 07時12分00秒,臺南市永康區龍昌街口 / 臺南市永康區中山北路口,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,120.268415,23.029742
111年02月27日 09時12分00秒,臺中市新社區慶西里下坪路31-3號前0.0公尺附近,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.821977,24.189148
111年02月27日 16時16分40秒,宜蘭縣三星鄉人和村雙和中路176號前,死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人;乘客-人;乘客-人,121.644052,24.668457
111年02月28日 07時23分00秒,臺南市新化區大德路188號前0.0公尺附近,死亡2;受傷0,普通重型-機車;自用-大貨車;乘客-人,120.294802,23.043771
111年02月28日 13時59分00秒,臺南市龍崎區縣182線 27公里800.0公尺處東側,死亡1;受傷0,普通重型-機車,120.420689,22.931994
111年02月28日 15時45分00秒,基隆市信義區深美街76號前0.0公尺,死亡1;受傷0,普通重型-機車,121.780962,25.135206
111年03月01日 04時12分00秒,彰化縣大村鄉美港村中山路1段241號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.544500,24.077500
111年03月01日 07時24分00秒,臺中市后里區公館里三豐路五段786號前0.0公尺,死亡1;受傷0,自用-大貨車;大型重型1(550C.C.以上)-機車,120.732548,24.342979
111年03月01日 10時48分00秒,新北市蘆洲區環堤大道路 / 新北市蘆洲區2號越堤道,死亡1;受傷1,自用-大貨車;普通重型-機車;普通重型-機車,121.457156,25.091173
111年03月01日 19時25分00秒,高雄市大寮區鳳屏二路347號前0.0公尺,死亡1;受傷2,普通重型-機車;腳踏自行車-慢車;乘客-人,120.395800,22.635030
111年03月02日 01時10分00秒,雲林縣虎尾鎮頂溪里西園76號前,死亡1;受傷0,普通重型-機車,120.466337,23.738702
111年03月02日 07時54分00秒,高雄市林園區王公路164號前0.0公尺,死亡1;受傷1,腳踏自行車-慢車;普通重型-機車,120.390819,22.510050
111年03月02日 09時49分00秒,桃園市桃園區三民路二段口 / 桃園市桃園區民生路口,死亡1;受傷0,普通重型-機車;營業用-曳引車,121.310532,24.999997
111年03月02日 11時11分00秒,高雄市楠梓區德民路 / 高雄市楠梓區翠屏路,死亡1;受傷0,自用-小客車;腳踏自行車-慢車,120.299970,22.724503
111年03月02日 13時50分00秒,桃園市龜山區文化二路38-11號前0.0公尺附近,死亡1;受傷0,普通重型-機車;租賃車-小客車,121.366010,25.058068
111年03月02日 15時25分06秒,臺南市歸仁區後市里中山路二段口 / 臺南市歸仁區後市里民族北街北側,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車;普通重型-機車;普通重型-機車,120.292241,22.967029
111年03月02日 17時13分00秒,臺北市中山區北安路 / 臺北市中山區北安路,死亡1;受傷4,自用-小客車;大型重型1(550C.C.以上)-機車;普通重型-機車;普通重型-機車;普通重型-機車;自用-小客車;普通重型-機車;自用-小貨車(含客、貨兩用);普通重型-機車;普通重型-機車,121.549381,25.084112
111年03月02日 17時47分00秒,臺南市東區崇明路口 / 臺南市東區崇明路口,死亡1;受傷1,自用-小客車;普通重型-機車,120.219417,22.978407
111年03月02日 23時34分00秒,苗栗縣苗栗市中華路686號對面,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人,120.825156,24.588724
111年03月03日 10時29分00秒,高雄市仁武區鳳仁路 / 高雄市仁武區竹門巷,死亡1;受傷0,動力機械-其他車;普通重型-機車,120.340692,22.708360
111年03月03日 11時47分46秒,嘉義縣溪口鄉溪東村成功路81號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.398156,23.600801
111年03月03日 17時45分00秒,高雄市燕巢區海成街26號前0.0公尺,死亡1;受傷0,自用-小客車;普通輕型-機車,120.315818,22.773501
111年03月04日 07時55分00秒,臺中市清水區西社里中華路 / 臺中市清水區西社里鰲峰路,死亡1;受傷0,普通重型-機車;自用-小客車,120.566866,24.268273
111年03月04日 09時38分00秒,臺中市后里區公館里重劃西路前0.0公尺,死亡1;受傷0,普通重型-機車,120.723860,24.338755
111年03月04日 15時02分00秒,嘉義縣太保市南新里北港路二段、南埤路路口,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.384175,23.496235
111年03月04日 21時35分51秒,臺南市北區和緯路二段口 / 臺南市北區育德一街口,死亡1;受傷1,普通重型-機車;普通輕型-機車,120.205118,23.012417
111年03月05日 01時13分48秒,新竹縣湖口鄉八德路2段175-1號前0.0公尺南側,死亡1;受傷0,普通重型-機車;營業用-曳引車,121.061303,24.879337
111年03月05日 03時11分00秒,宜蘭縣冬山鄉珍珠三路口 / 宜蘭縣冬山鄉幸福一路口,死亡1;受傷1,自用-小客車;普通重型-機車,121.784239,24.649725
111年03月05日 09時49分28秒,臺南市新市區環東路二段與南科六路路口往北車道,死亡1;受傷3,普通重型-機車;自用-小客車;乘客-人;乘客-人,120.283596,23.106972
111年03月05日 09時51分00秒,臺南市佳里區台19線 125公里200.0公尺處南側,死亡1;受傷0,自用-小客車,120.188658,23.147220
111年03月05日 10時20分00秒,臺中市大肚區新興里自由路 / 臺中市大肚區新興里自由路,死亡1;受傷0,普通重型-機車;自用-小客車,120.548442,24.143438
111年03月05日 15時50分00秒,高雄市美濃區復興街2段 / 高雄市美濃區龜山街,死亡1;受傷1,自用-小客車;營業用-半聯結車;乘客-人,120.561637,22.856672
111年03月05日 21時28分00秒,雲林縣麥寮鄉雲3道路,死亡1;受傷1,自用-小客車;自用-小客車,120.232165,23.781397
111年03月06日 00時26分00秒,苗栗縣後龍鎮國道3號 126公里300.0公尺處南側向外側,死亡1;受傷3,自用-小客車;租賃車-小客車;自用-小客車;自用-小客車;自用-小客車;自用-小客車;自用-小客車;乘客-人;乘客-人,120.796847,24.607359
111年03月06日 02時14分00秒,桃園市中壢區中正路口 / 桃園市中壢區環西路口,死亡1;受傷0,租賃車-小客車;行人-人,121.207885,24.961570
111年03月06日 02時28分00秒,臺南市永康區國道1號 321公里500.0公尺處南側向外側,死亡1;受傷0,自用-小客車;營業用-半聯結車,120.249199,23.028060
111年03月06日 09時30分00秒,新北市林口區新北市林口區臺61線道路北上13公里處,死亡1;受傷0,自用-小客車;自用-大貨車,121.343132,25.101927
111年03月07日 03時29分29秒,雲林縣口湖鄉台17線(口湖休息站旁),死亡1;受傷0,自用-小客車,120.151158,23.574618
111年03月07日 05時04分00秒,桃園市觀音區新華路一段口 / 桃園市觀音區新華路一段口,死亡1;受傷0,行人-人;營業用-曳引車,121.108030,24.988870
111年03月07日 09時31分00秒,臺中市南屯區文山里向上路五段前0.0公尺,死亡1;受傷0,普通重型-機車,120.591166,24.158921
111年03月07日 14時46分00秒,彰化縣福興鄉番婆村彰鹿路6段504弄217號前0.0公尺附近,死亡1;受傷0,腳踏自行車-慢車,120.460870,24.051578
111年03月07日 15時37分00秒,苗栗縣銅鑼鄉樟樹村竹圍42之1號前,死亡1;受傷0,普通重型-機車,120.777050,24.439788
111年03月07日 15時45分00秒,高雄市苓雅區三多一路 / 高雄市苓雅區建軍路,死亡1;受傷0,普通重型-機車;租賃車-小客車,120.342320,22.624689
111年03月07日 17時06分00秒,臺中市太平區工業路215號前0.0公尺,死亡1;受傷1,普通重型-機車;自用-小客車;普通重型-機車,120.720809,24.107143
111年03月07日 17時25分00秒,新北市蘆洲區長安街 / 新北市蘆洲區環堤大道路,死亡1;受傷1,行人-人;普通重型-機車,121.456789,25.086955
111年03月07日 21時48分27秒,桃園市大溪區國道3號 63公里北側向內側,死亡1;受傷2,自用-小客車;其他人-人;自用-小客車;自用-大貨車,121.263343,24.889259
111年03月08日 04時45分00秒,新北市金山區新北市金山區三界壇路486253號燈桿前,死亡1;受傷0,普通重型-機車,121.628712,25.225609
111年03月08日 07時12分00秒,新竹縣竹東鎮光明路930-1號附近,死亡1;受傷0,普通重型-機車;自用-小客車,121.050363,24.784525
111年03月08日 07時50分00秒,新竹市香山區西濱快速道路南下側車道84.2K(近無名巷口),死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;普通重型-機車,120.893511,24.741052
111年03月08日 09時02分00秒,新北市新店區新北市新店區青山路與青山路無名巷(128309號燈桿),死亡1;受傷1,大型重型2(250-550C.C.)-機車;普通重型-機車,121.514340,24.949751
