發生時間,發生地點,死亡受傷人數,車種,經度,緯度
111年01月09日 14時29分00秒,彰化縣大城鄉臺西村北頭巷前0.0公尺,死亡1;受傷0,普通重型-機車,120.284614,23.839906
111年01月09日 19時18分00秒,新北市新店區中央路57號前0.0公尺,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,121.527702,24.975640
111年01月10日 01時58分00秒,苗栗縣頭份市國道1號 109公里600.0公尺處北側向外側,死亡1;受傷0,行人-人;民營客運-大客車,120.922081,24.697203
111年01月10日 04時43分00秒,桃園市楊梅區楊新路口 / 桃園市楊梅區大成路口,死亡1;受傷0,自用-小客車;行人-人,121.145862,24.913241
111年01月10日 09時09分59秒,苗栗縣後龍鎮台61線107公里北上側車道,死亡1;受傷0,普通重型-機車;自用-大貨車,120.746681,24.604979
111年01月10日 12時50分59秒,高雄市大樹區國道3號 384公里800.0公尺處北側向中線,死亡1;受傷1,自用-半聯結車;自用-小貨車(含客、貨兩用);乘客-人,120.452386,22.764574
111年01月10日 16時04分00秒,桃園市龜山區忠義路一段1433號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.354685,25.037148
111年01月10日 16時47分00秒,澎湖縣馬公市朝陽里朝陽路口 / 澎湖縣馬公市朝陽里文昌街口,死亡1;受傷0,自用-小客車;行人-人,119.578643,23.572897
111年01月10日 21時35分00秒,高雄市杉林區杉美路附近 / 高雄市杉林區桐竹路附近,死亡1;受傷0,自用-小客車,120.529400,22.939720
111年01月11日 00時37分00秒,臺中市大雅區大雅里中清路三段1215號前0.0公尺,死亡1;受傷0,行人-人;自用-小客車,120.645202,24.225274
111年01月11日 05時20分00秒,新北市土城區中央路2段96號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人;普通重型-機車;普通重型-機車;普通重型-機車,121.442222,24.978577
111年01月11日 07時24分00秒,臺北市萬華區西寧南路13號前0.0公尺,死亡1;受傷0,腳踏自行車-慢車;普通重型-機車,121.507512,25.048317
111年01月11日 11時53分00秒,高雄市湖內區中華街 / 高雄市湖內區中華街,死亡1;受傷1,普通重型-機車;普通重型-機車,120.225600,22.908000
111年01月12日 04時57分00秒,花蓮縣秀林鄉台9丁線 61公里200.0公尺處北側向路肩,死亡1;受傷0,普通重型-機車,121.733806,24.252492
111年01月12日 13時10分16秒,宜蘭縣蘇澳鎮蘇濱路2段口 / 宜蘭縣蘇澳鎮蘇濱路2段口,死亡1;受傷1,營業用-曳引車;普通重型-機車;乘客-人,121.831949,24.630653
111年01月12日 18時43分09秒,臺南市新市區光華街口 / 臺南市新市區長安街,死亡1;受傷1,普通重型-機車;普通重型-機車,120.297352,23.073604
111年01月13日 00時37分02秒,臺南市安南區安明路三段路燈146號處,死亡1;受傷0,普通重型-機車,120.151686,23.045472
111年01月13日 06時33分00秒,新北市土城區永安街78號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人;普通重型-機車;計程車-小客車;普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車,121.432026,24.963893
111年01月13日 07時06分00秒,彰化縣員林市南平里莒光路 / 彰化縣員林市南平里新生路,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人,120.567877,23.969110
111年01月13日 10時13分00秒,臺中市中區綠川里台中路 / 臺中市中區綠川里建國路,死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;乘客-人;普通重型-機車,120.682499,24.135506
111年01月13日 10時40分00秒,臺東縣成功鎮三仙里高台路53號附近產業道路,死亡1;受傷0,普通重型-機車,121.396746,23.125483
111年01月13日 14時51分28秒,新竹縣湖口鄉德興北路66號,死亡1;受傷0,普通重型-機車;營業用-曳引車,121.038379,24.929845
111年01月14日 00時19分00秒,臺中市北屯區大坑里東山路二段140號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.761160,24.199739
111年01月14日 08時46分00秒,臺南市安定區嘉同里六塊寮157-7號前0.0公尺口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.218157,23.074706
111年01月14日 12時52分00秒,彰化縣伸港鄉定興村彰新路7段402弄61號前0.0公尺前,死亡1;受傷0,普通重型-機車,120.500978,24.159644
111年01月14日 17時16分00秒,新北市新莊區新北大道4段51號前0.0公尺,死亡1;受傷0,大型重型2(250-550C.C.)-機車,121.444448,25.058121
111年01月14日 18時07分00秒,新北市新莊區新泰路484號前0.0公尺,死亡1;受傷3,普通重型-機車;行人-人;行人-人;普通重型-機車,121.481339,25.010287
111年01月14日 18時13分00秒,臺中市大雅區上楓里民生路四段360號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.674210,24.240437
111年01月14日 20時22分39秒,苗栗縣頭份市中正一路630號前,死亡1;受傷0,行人-人;自用-小客車,120.938683,24.683063
111年01月15日 04時45分13秒,新竹縣湖口鄉勝利村勝利路2段84號前0.0公尺,死亡1;受傷0,自用-小客車;其他人-人,121.026716,24.863505
111年01月15日 07時32分00秒,臺中市大雅區橫山里東大路二段 / 臺中市大雅區橫山里科雅六路,死亡1;受傷0,普通重型-機車;自用-小客車,120.614000,24.215220
111年01月15日 08時55分00秒,屏東縣里港鄉鐵店村鐵店路53-40號,死亡1;受傷2,自用-小客車;自用-小貨車(含客、貨兩用);行人-人;行人-人,120.506048,22.773927
111年01月15日 09時19分00秒,彰化縣溪州鄉西畔村登山路3段東側 / 彰化縣溪州鄉西畔村西南巷,死亡1;受傷1,普通重型-機車;普通重型-機車,120.541128,23.829464
111年01月15日 15時58分00秒,桃園市中壢區華美一路6號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.262437,24.957655
111年01月15日 17時36分00秒,臺南市安南區海尾路上東向車道第36號路燈桿旁,死亡1;受傷2,普通重型-機車;乘客-人;乘客-人,120.178664,23.032573
